Source	Target	Interaction
MAPKAPK5	TP53	+
MDC1	ATM	+
MDC1	RNF8	+
MDC1	TP53BP1	+
MEF2C	MYOD1	+
MINK1	KCNH2	+
MMP14	MMP2	+
MMP2	EGFR	+
MMP2	TGFB1	+
MMP9	TGFB1	+
MTOR	AKT1	+
MTOR	AKT1S1	-
MTOR	ATG13	-
MTOR	EIF4EBP1	+
MTOR	EIF4EBP2	+
MTOR	EIF4EBP3	+
MTOR	GRB10	+
MTOR	MAF1	-
MTOR	RPS6KA2	+
MTOR	RPS6KB1	+
MTOR	RPTOR	+
MTOR	SGK1	+
MTOR	STAT3	+
MTOR	ULK1	-
MTOR	ULK2	-
MYBL2	CDK1	+
MYOD1	SMARCA4	+
MYOD1	SMARCD3	+
NCK1	ABL1	+
NCK1	PAK1	+
NEDD4	IGF1R	+
NEDD4	PTEN	+
NFATC4	MAPK8	+
NLRC4	NOD2	-
NOS1	HDAC2	+
NOS1	NFKBIA	-
NR3C1	CAV1	+
NR3C1	LCK	+
NUMA1	TUBB	+
NUMA1	TUBD1	+
NUMB	GLI1	-
NUMB	ITCH	+
OPRD1	GNAI3	+
OPRM1	GNAI3	+
PAK1	FLNA	+
PARD6A	PRKCA	+
PARD6A	SMURF1	+
PAX6	CDH2	+
PAX6	FN1	+
PAX6	MAF	+
PAX6	SFRP1	+
PAX6	SFRP2	+
PCNA	CDT1	+
PDPK1	AKT1	+
PDPK1	AKT2	+
PDPK1	AKT3	+
PDPK1	CARD11	+
PDPK1	MAP2K1	+
PDPK1	MAP2K2	+
PDPK1	PAK1	+
PDPK1	PKN1	+
PDPK1	PRKACA	+
PDPK1	PRKCB	+
PELI1	IRAK1	+
PFN1	CDH4	+
PIK3C3	AKT1	+
PIK3C3	PTEN	+
PIK3CG	PDPK1	+
PIK3R4	PIK3C3	+
PIN1	BCL6	+
PIN1	TP73	+
PINK1	BECN1	+
PINK1	CYCS	-
PINK1	HTRA2	+
PINK1	PRKN	+
PKD2	TRPC1	+
PKD2	TRPC3	+
PKN1	ARHGEF2	-
PKN1	MAP3K20	+
PKN1	MAPK14	+
PKN1	PGM1	+
PKN1	PPP1R14A	+
PLCG1	PRKCA	+
PLCG1	SOS1	+
PLCG1	TRPC1	+
PLCG1	TRPC3	+
PPP1CA	ACVRL1	+
PPP1CA	AKT1	-
PPP1CA	AURKA	-
PPP1CA	AXIN1	-
PPP1CA	BAD	+
PPP1CA	BRCA1	-
PPP1CA	CAMK2A	-
PPP1CA	CASP9	+
PPP1CA	CCND3	+
PPP1CA	CDC25C	+
PPP1CA	HDAC1	+
PPP1CA	MAPK1	-
PPP1CA	MAPK3	-
PPP1CA	MDM2	+
PPP1CA	NEK2	-
PPP1CA	NOS3	+
PPP1CA	PFN1	+
PPP1CA	RAF1	+
PPP1CA	RB1	+
PPP1CA	STAT3	-
PPP1CA	TP53	-
PPP1CA	TRIM28	+
PPP1CC	AKT1	-
PPP1CC	AXIN1	-
PPP1CC	BCL2	+
PPP1CC	CAMK2A	-
PPP1CC	CDC25C	+
PPP1CC	CDK9	+
PPP1CC	CFL1	+
PPP1CC	CREB1	-
PPP1CC	EIF2A	-
PPP1CC	GRIN2A	-
PPP1CC	MDM2	+
PPP1CC	NOS3	+
PPP1CC	TGFBR1	+
PPP1CC	TP53	-
PPP1R14A	PPP1CA	-
PPP1R15A	PPP1CC	+
PPP1R1A	PPP1CC	-
PPP1R1B	PPP1CA	-
PPP1R1B	PPP1CC	-
PPP2CA	MAP3K7	-
PPP2CA	MAPK15	-
PPP2CA	PRKACA	-
PPP2R5C	AKT1	-
PPP2R5C	ATF1	+
PPP2R5C	BAD	+
PPP2R5C	BCAR1	-
PPP2R5C	BCL2	-
PPP2R5C	CAMK1	-
PPP2R5C	CAMK4	-
PPP2R5C	CFL1	+
PPP2R5C	CREB1	-
PPP2R5C	GSK3A	+
PPP2R5C	MAPK3	-
PPP3CA	BAD	+
PPP3CA	NFATC4	+
PPP3CA	PPP1R1A	-
PPP3CA	PPP1R1B	-
PPP3CA	SSH1	+
PRKAA1	CRTC2	-
PRKAA1	CRY1	-
PRKAA1	CTBP1	-
PRKAA1	EP300	-
PRKAA1	FOXO1	+
PRKAA1	FOXO3	+
PRKAA1	HDAC4	-
PRKAA1	HDAC5	-
PRKAA1	KPNA2	+
PRKAA1	NOS3	+
PRKAA1	PRKAB1	+
PRKAA1	RAF1	+
PRKAA1	RB1	-
PRKAA1	RPTOR	-
PRKAA1	SREBF1	-
PRKAA1	TP53	+
PRKAA1	ULK1	+
PRKAA2	CRTC2	-
PRKAA2	IKBKB	+
PRKAA2	INSR	+
PRKAA2	PLD1	+
PRKAA2	RPTOR	-
PRKAA2	SREBF1	-
PRKAA2	TSC1	+
PRKAA2	TSC2	+
PRKAA2	ULK1	+
PRKAB1	NOS3	+
PRKAB1	RPTOR	-
PRKAB1	ULK1	+
PRKACA	ARHGDIA	+
PRKACA	CAMKK1	+
PRKACA	CAMKK2	-
PRKACA	KCNH2	+
PRKACA	MAP1LC3B	-
PRKACA	PRKAA1	-
PRKCB	DVL2	+
PRKCB	ILF3	-
PRKCB	NCF1	+
PRKCQ	HSF1	+
PRKCQ	IKBKB	+
PRKCQ	RAPGEF2	+
PRKCQ	RASGRP1	+
PRKCQ	RASGRP3	+
PRKCZ	NCF1	+
PRKCZ	PSEN1	+
PRKCZ	RELA	+
PRKCZ	SP1	+
PRKD1	BAD	-
PRKD1	CDH1	+
PRKD1	CTNNB1	+
PRKD1	DLC1	-
PRKD1	EGFR	+
PRKD1	HDAC5	-
PRKD1	HSPB1	+
PRKD1	KIDINS220	+
PRKD1	MBP	+
PRKD1	PI4KB	+
PRKD1	PPP1R14A	+
PRKD1	PTRH2	+
PRKD1	RIN1	-
PRKN	SYT11	-
PSEN1	NCSTN	+
PSEN1	TRAF6	-
PTPN1	CAV1	-
PTPN1	EPHA3	-
PTPN1	LAT	-
PTPN1	MAPK15	-
PTPN1	TRPV6	-
PTPN6	CTNND1	+
PTPN6	LYN	-
PTPN6	PTK2B	-
PTPN6	ZAP70	+
PTPRA	SRC	+
RAD18	PCNA	+
RAF1	MAPK3	+
RASGRP3	AKT1	+
RASGRP3	NRAS	+
RB1CC1	ATG16L1	+
RB1CC1	PTK2B	-
RB1CC1	TP53	+
RB1CC1	TSC1	-
RB1CC1	ULK1	+
RB1CC1	ULK2	+
RCAN1	PPP3CA	-
RELA	CREBBP	+
RELA	CXCL8	+
RELA	EGR1	+
RELA	HDAC4	+
RELA	NR3C1	-
RELA	SP1	+
RELA	TRAF2	+
RIN1	ABL2	+
RIN1	EGFR	+
RIN1	HRAS	+
RIN1	KRAS	+
RIN1	NRAS	-
RIPK2	BCL10	+
RIPK2	IKBKB	+
RIPK2	IRF5	+
RIPK2	MAP3K7	+
RIPK2	MAPK14	+
RIPK2	MAPK8	+
RIPK2	TAB1	+
RIPK2	TAB2	+
RIPK2	TRAF3	+
RNF8	HIST1H2AM	+
RNF8	RAD18	+
RNF8	RNF168	+
RNF8	UBE2N	+
ROR2	BMPR1B	+
ROR2	GRK2	+
ROR2	MAP3K7	+
RPS6KA2	ATF4	+
RPS6KA2	BAD	+
RPS6KA2	CREB1	+
RPS6KA2	NFATC4	+
RPS6KA2	NFKBIA	-
RUNX2	BMP2	+
RUNX2	CREBBP	+
RUNX2	NOTCH1	-
SFRP2	WNT1	-
