Source	Target	Relation
MYL5	MYH11	0
PDPK1	ASAP2	+
EFNB1	PTK2	-
CDK5	VHL	+
UNC13B	STXBP1	+
PPM1G	YBX1	+
LAMC3	LAMA5	0
NUP35	DDX20	+
YWHAZ	ITGB4	0
RPL19	RPS27A	0
SFRP5	WNT10B	-
CSNK1D	CEP76	0
HPCA	NAIP	+
HSF1	HMOX1	-
RPL3	RPS29	0
MYD88	MAP3K7	+
FOS	CYR61	+
PPP3CB	PPP3CC	0
IFNG	CXCL12	+
RXRA	RXRA	0
IDE	PSMB2	0
INHBB	TGFB2	-
EPS8	SOX1	0
RPL10	UBA52	0
HTR2C	GNB1	0
PRKACA	SDCCAG8	0
PLCG1	PLA2G2C	+
POLR2I	POLR2H	0
HDAC7	ZNF217	0
RPL26	RPL39	0
PSMD3	PSMB9	0
CDK6	NUSAP1	+
MAPK1	ESR1	+
PSMB10	PSMF1	0
TARDBP	HDAC6	-
PDGFB	EGFR	+
CHRM3	GNA14	+
RASGRP2	CACNA1H	0
HDAC7	HDAC11	0
SMAD2	PML	0
IL12RB1	CD3E	+
RANBP2	NUP214	0
LAMA1	RHOA	+
DYRK1A	FOXO1	+
HBA1	RPL27A	0
GTF2H1	POLR2A	+
NFKB1	CCL4	+
PLCG1	PLA2G12B	+
DYRK1A	SF3B1	+
CSNK1D	CEP110	0
NCOA2	RBPJ	0
MAPK8	NPM1	+
SMAD4	MST1R	-
CD40LG	CD40	+
RELA	TP53BP2	-
E2F2	RBBP4	0
PDE3A	PRKAR1B	0
CCL4	ADRA1B	0
TNS1	BCAR1	0
GNAQ	MAPK14	+
ARF1	ARFGAP1	0
NTS	PRKD1	+
ACTN1	PIK3CA	+
UBR1	RBX1	+
ROCK1	MYL10	+
COL5A2	CD44	+
PRKCD	ITGB4	+
PER1	AR	-
PRKAR1A	PPP1R14A	0
MASP1	C4A	+
RPL29	RPS16	0
MAPK1	VAV1	0
PSMD2	PSMD11	0
PORCN	WNT9A	+
GNAZ	RHOA	+
LOC100291837	UBC	0
IFNG	GBP1	+
GRB2	SOS2	+
C1QC	C4A	+
CASP6	LMNB1	+
CTNNB1	IGF2BP1	+
MAPK11	NOS2	+
EIF2S2	RPS27	+
RPLP2	RPS7	0
HIPK2	MYB	0
YY1	ATP1BL1	+
PSMB3	ADRM1	0
LMO4	PIAS3	+
TGFBR1	TGFBR1	-
CSF2	PLA2G7	-
BMPR2	MAP3K7	+
MAP3K11	MAP2K3	+
EIF1	RPS20	+
SOS1	AKT1	+
CDK7	RNASEH2C	+
CEP76	CEP70	0
CSTF1	PAPOLA	+
TSGA14	CEP76	0
TCF7L2	MITF	+
PPARA	ACSL1	+
UBB	RPS25	0
IL28RA	IL10RB	0
EPHA1	CBL	+
PTK2	CSK	0
ARHGEF7	ARHGEF12	-
PRKCZ	KRAS	-
RPL18	RPS15	0
TH	DRD3	+
CD2	PRKACB	+
RPL11	RPS20	0
FGF7	SCNN1A	-
MAP3K2	MAP2K4	+
UBE2V1	MAP3K7	-
FLT3	CTNNB1	+
ESPL1	REC8	-
RPL37	RPS16	0
JAK1	PIK3R5	+
NRG1	PRKACA	+
CLK3	HLCS	+
HLA-E	KLRD1	+
MAP3K7	SMAD3	-
WNT10A	FZD6	+
BMP4	BMPR1B	0
RPS6KB1	BAX	+
MAPK1	CLK3	+
CCL2	CCR4	+
RAD50	BARD1	0
CHN2	RAC1	-
LBR	IL5	+
EGF	SLC12A2	-
GAK	AR	+
RPS3A	RPS7	0
EFNB1	ROCK1	+
TDG	NKX2-1	-
GNGT1	SHC1	+
UBE3A	PSMA4	0
FGF23	PIK3R1	+
CBL	FGFR3	-
ZFPM2	EP300	-
MAPK1	CASP8	-
RELA	SOCS3	+
FZD8	DVL1	+
ADAM12	PIK3CA	+
FYN	PDGFRB	+
PRKACG	CCL11	0
MAPK8	BAX	+
EIF6	RPL29	+
IRAK1	TOLLIP	0
CNTF	VIP	+
PDPK1	PIK3R2	0
CSNK1D	TUBB	0
CDCA8	AURKB	0
ACTL6A	NCL	+
GCK	MAP3K2	+
SMAD7	TGFB1	+
GAL	VIP	+
MAPK8	JUND	+
LRP1	SHC1	0
ATM	BARD1	+
PSMF1	UBR1	0
UCHL5	PSMC1	0
FLNA	KLK3	-
PTK2B	FGF18	0
SPDEF	AR	0
BIRC5	TUBB4Q	+
RPL11	UBB	0
PIM1	CTTN	+
CCM2	MAPK11	+
PTK2	TLN1	0
ITGAL	PTPN2	+
SMAD3	PARD3	0
CAPN2	RDX	-
RAC3	MAPK8	+
XIAP	CASP9	-
HRAS	TIAM1	0
NUP210	NUP98	0
ADCYAP1	VIP	+
NPR2	SCP2	+
TNF	LPL	+
ANAPC10	CDK1	-
ERCC3	LOC100290337	+
CAMK1D	CREB1	+
FANCA	FANCF	0
STK11	SIK1	+
S1PR1	LYN	+
PSMD11	PSME4	0
TP53	HIF1A	+
PTPN6	IL9R	-
PSMD11	TCEB1	+
RPL35	RPL39	0
CTNNA3	ACTN1	0
ARHGEF6	GIT2	0
SPRY2	PTPRB	+
LAMB3	LAMC1	0
TP53	PRB3	+
ITGAL	ADAM12	0
RPL30	RPS14	0
RPTOR	CYCS	+
SP1	EHHADH	-
IL7R	JAK2	+
WT1	NPHS1	+
SNRPA1	SNRPB	0
SNW1	MAGEA1	0
RPS2	RPS14	0
FGF20	PDGFRB	+
CTNNB1	MMP2	+
IRF6	C3AR1	+
PSMB10	CDC20	+
SHROOM4	SHROOM1	0
FGFR4	ASAP3	+
EIF3A	EIF3K	0
CDK5RAP2	DCTN1	0
JAK2	PTPN6	+
CSNK1G3	TP53	+
GNAI2	FGR	+
SCYL2	UBB	+
CCL13	CCL2	+
KSR1	MAP2K2	+
ATM	TAOK2	+
FGFR2	CRK	+
FOS	EDN1	+
DCN	VEGFA	-
CYFIP2	DIAPH1	+
CCR1	JAK2	+
XCR1	GNAI2	+
CD8B	IL2RG	+
EIF1AX	RPS15A	+
ACVRL1	TGFBR1	0
CDKN2A	ATR	+
PSMD3	CDC27	+
AKAP9	SSNA1	0
MAPK1	SMAD4	-
LEF1	CCND3	+
CHRD	NOG	0
LAMA5	RAC1	+
NEDD4L	KIT	-
WNT1	CREBBP	+
PRKCE	SHC1	0
GHR	STAT5A	+
MAPK14	STAT1	+
IL1B	PLAA	+
HDAC3	NCOR1	0
CACNA1B	CACNA1I	0
PPP2R1A	CEP110	0
FLT1	KDR	0
CCL3	CCR8	+
FLNA	IKBKB	+
ASPH	ARNT	-
FHL2	LRP5	0
CAMK2B	PPP3CA	+
MAP3K7	XIAP	0
NCKAP1	ARPC2	+
CCL3	CCR3	+
CXXC4	DVL1L1	-
MMP2	IL2	+
PIK3R1	IL2RB	0
SERPINA1	LRP1	+
FCER1A	HCLS1	+
IL4	IL2RA	-
RPL7A	RPS8	0
PTPN13	HGF	-
VTN	ITGA6	+
IL17B	IL17RB	+
PRKACB	HLCS	+
IL1B	CXCL10	+
GATA1	MAP2K5	0
SYK	PRKCD	+
NOG	NKX2-5	-
TPR	NCBP2	+
CBL	IL12RB1	-
ACVR1	ORC1L	+
TOLLIP	TLR4	0
MYB	ELANE	+
EPN2	PDGFRA	0
IFNA17	PSME3	+
NEK6	FABP4	+
PSME3	PSMD7	0
AKT1	MEF2A	+
GTF2H4	XPA	0
LOC100290337	GTF2H2	+
PRKCZ	HLCS	+
EDN1	HTR2C	0
E2F2	SPI1	-
TPR	UPF3B	+
SLEB3	IFNA1	+
SHC2	IGF1	0
FTL	UBC	0
FZD8	GNAQ	+
RPL4	RPL14	0
EIF3A	EIF3G	0
PSME3	PSMA3	0
AZI1	HAUS2	0
SHB	ZAP70	0
MAP3K13	MAP2K3	+
NOTCH1	WDR12	0
TSGA14	FGFR1OP	0
FN1	ITGAV	+
PLAUR	EGFR	+
C17orf70	FANCL	0
TPM1	FN1	+
FCGR1A	SYK	0
SREBF1	NR0B2	+
RPL3	RPL7	0
NR3C1	BAX	-
UBB	RPS2	0
BMX	ATXN3	+
HSPB1	UBR1	0
TGFB1	MTOR	+
EGF	PIP5K1C	+
PAK6	MDM4	+
PSME4	PSMD13	0
RPS7	RPS17	0
IFNA1	IFNGR2	+
ITGAV	CBL	0
ELANE	MUC5AC	+
NOTCH4	DTX3L	+
HLX	STAT4	-
TP63	HBP1	-
GGA3	COP	-
CD3E	CD8A	0
PSMB2	PSMD10	0
NCOA2	CREBBP	-
RXRA	FADS2	+
MAPK1	MYLK	+
ITGB2	KCNH2	0
SDC4	ADAM12	0
MAD2L1	ANAPC11	-
CCL24	CCR9	+
ADRB2	FPR1	0
CACNG7	CACNA1G	0
SRC	GIT1	+
RPS4X	ACTR2	+
CTNNB1	DKK4	+
ANXA2	HGF	+
HGF	FN1	+
INSL3	RXFP2	+
IBSP	ITGB3	+
PIK3CA	CBLB	0
RIPK2	NEUROD1	+
ELANE	IFNG	+
TGFB2	CAV1	0
CD247	CD86	-
SMARCE1	KLK3	+
NUP205	EIF4E	+
PSMA1	PSMC5	0
RPS6KB1	RPS15A	+
COL4A6	ITGAV	+
ITGB1	RAC1	+
SOCS5	MPL	-
JUN	MYB	+
PRKAA2	NOL7	+
FHL2	ITGAV	0
CD40	ICAM1	+
DYNLL1	TUBB2C	0
TGFBR2	SNUPN	+
VEGFA	MMP9	+
LOC652614	KIR2DS5	+
HGF	MYC	+
PSMA1	SHFM1	0
CSNK2A1	SRF	+
PSME4	PSMA6	0
BIRC6	DIABLO	-
HDAC8	RAP2A	0
ACTB	GTF3A	+
PAK1	PXN	0
WNT6	GNG2	+
TNFRSF11A	TRAF6	+
LRP1	AXIN1	-
SMAD7	STRAP	0
RSL1D1	PTEN	-
RPL36	RPL4	0
NEK2	PSMA6	+
YWHAE	CEP63	0
HIVEP1	PTGS2	-
NFATC3	IFNG	+
AR	KAT2B	0
COL6A6	ITGA6	+
VTN	ITGB8	+
PDGFC	PDGFRB	+
BACE2	NOTCH1	+
ONECUT1	ONECUT1	+
SFRP4	FZD10	-
PSMD7	SLC10A2	0
ADCY2	PRKACA	+
RPS3A	UBB	0
RPL6	RPS17	0
NUP98	GEMIN6	+
IL12A	LCK	+
EDN1	JAK2	+
NOG	BMP2	-
IGFBP1	IGFBP1	+
RPS5	RPS13	0
RFC2	CLSPN	0
KLRC1	KLRC1	0
CYP24A1	NR1I2	+
YES1	YWHAZ	+
RBPJ	NCOR1	0
RGMA	MAP3K7IP2	+
PLCG1	ARHGEF7	0
PIAS2	AR	-
SNF8	VPS25	0
SMAD2	TP53	0
GRK6	CX3CR1	+
CDC73	MYC	+
RASGRF2	CACNA1E	0
RPS4X	RPS15	0
IFNA13	IFNG	+
C3orf10	ABI2	0
PRKCG	BCAR1	+
SAA1	CSF3	+
RUNX2	COL10A1	+
RIPK1	MAP4K2	+
NR1H4	SDC1	+
BUB3	ANAPC2	-
MED1	FABP1	+
RPS6KA1	PTGS2	+
UBE2D1	UBE2E1	0
TRAF4	MAP3K4	+
ARNT	MCL1	+
ID1	MYF5	0
HLA-C	KIR3DL3	+
TNK2	CTTN	+
JUN	FAT1	-
CXCL12	PIK3R2	+
RAP1A	RAP1A	0
GADD45B	CCNB3	-
PLK1	ANAPC7	+
TNFRSF9	TNFSF9	0
SMAD6	SMAD5	-
VEGFA	HSP90AA1	0
S100A4	MYO5C	+
TDGF1	SRC	+
IL8	CXCR4	+
PRKCB	IGSF5	+
E2F1	CDC25A	+
NUP50	GEMIN7	+
GNA15	HRAS	+
XCL1	CCR6	+
DYRK2	TBC1D22A	+
RNF8	H2AFX	0
GLI1	WNT2	+
MYH1	MYOM1	0
PELP1	SHC1	0
NTF3	TIAM1	+
AGA	GNGT1	0
TP53	HTT	+
FZD7	DVL2	+
NR1I3	ADRBK1	+
RASGRF1	CACNG7	0
MYST2	SNCA	0
NFKBIB	PDCD2	0
IL2RB	STAT5A	+
TIA1	PTGS2	+
TSGA14	SFI1	0
BTK	HNRNPK	+
PSMA1	CDC26	+
SRC	MAPK1	+
PTPN6	IL7R	-
RLN3	RXFP1	+
CISH	IL2RA	-
STK16	PPP1R8	+
PSMA7	SKP1	+
TRAF2	SMPD3	+
PTEN	IGFBP2	+
PSMC6	PSMF1	0
ANAPC5	HECTD3	0
NUP155	KPNB1	+
RPS6KA2	KCNIP3	+
CLK2	TOX	+
SRPK2	MDFI	+
PSMC4	RBX1	+
PER2	SERPINE1	-
XPO5	EEF1A1	+
DYRK1A	UBE2D1	+
NTRK2	PLCG1	+
LAMA1	PTK2	0
TUBB	CLASP1	0
ERRFI1	GAB2	0
CLK2	TBX20	+
POLD4	POLD2	+
IFNA1	ABL1	+
CACNG2	CACNA1I	0
FAAH	MS	+
FGFR4	MBNL3	+
GNAI2	ADCY2	-
IFNG	IL1A	-
RICTOR	AKT1	+
SRC	HIPK2	+
PAK4	KHDRBS2	+
NEK6	SNRNP70	+
IL4	TNFRSF17	+
SMAD3	NUP214	0
NDE1	CEP250	0
MAD2L2	MAD2L1	0
RPA2	RFC3	0
EIF2S3	UBC	0
TFDP1	CASP7	-
PTPN6	JAK1	-
VEGFA	PRKACA	+
STAT6	CCL11	+
RASGRF1	CCNB1	+
COL4A3BP	PPM1L	0
THBS4	ITGA6	+
MAPK11	MAPK14	+
GNGT1	PIK3CA	+
TNF	CDH11	-
MAP3K7IP1	TNFRSF1A	0
TFDP1	E2F5	0
RPLP2	RPS20	0
POLR2E	GTF2F1	0
PF4	FGF2	-
ROCK1	MYH7	+
CDC14B	CUL7	+
GNB2	PLCB4	+
AR	PIK3R1	+
TRADD	MAP4K3	+
SIRPA	SHC1	0
RPSA	RPL10	0
PTPN1	BCAR1	0
PSMC4	TRIP12	0
PRDX3	ICAM1	-
AGT	PIK3CA	+
SDCCAG8	CP110	0
HLA-A	KIR2DL2	+
DCTN3	SFI1	0
MAPKAPK5	UBE2N	+
LAMB4	SV2A	+
ADRA1B	CXCL12	0
PDGFB	SHC3	+
PKN1	AKAP9	0
ADAM17	NRG1	+
RAB3A	SLC17A7	0
PSMD7	PSMD13	0
CACNB4	CACNA1I	0
CNR1	CACNA1F	+
RPS3A	RPS15A	0
ATP6V1H	ATP6AP2	+
ITGAL	PKD1	0
CDC42	WASF1	+
C3	C3	+
CXCL12	ROCK1	+
CXCL12	SLC9A3R1	0
RPL4	RPS20	0
CEBPA	MYC	-
MFNG	NOTCH2	+
EIF1AX	RPS27A	+
RXRB	CPT1B	+
FOXG1	SMAD2	0
POLD2	RFC2	+
RPL31	RPS3	0
WNT4	GNB1	+
MPDZ	CLDN9	0
ADRM1	PSMB10	0
EIF5	EIF3E	+
HDAC10	HIST2H2AC	+
BMPR1A	ACVR2A	0
EIF3E	EIF3L	0
ETS1	CDK4	+
GRIN2C	RYR2	0
CEP63	DYNC1H1	0
SSB	POLR3H	+
STAT1	STAT5A	0
PDGFD	BLK	+
CDC25A	CDK1	+
PPP2R1B	PRKCI	-
LOC100291837	FXR2	0
HBA1	RPL31	0
MAP2K2	CREB1	+
RAE1	NCBP2	+
CREBBP	SMAD3	-
PTGS2	RHOA	+
ITGB4	PPP2CA	0
GRB2	BLNK	0
PCNT	ACTR1A	0
CDC42	EXOC7	-
CAMK2B	PTK2B	+
PRKACG	CREM	+
DUSP6	MAPK14	-
PIK3R2	CBLB	0
NMB	GRPR	+
RELN	NOTCH1	+
GNB1	GNGT2	0
STK17A	ZNF248	+
DAXX	SMAD4	-
RPS23	RPL14	0
ITPR1	PLCD1	0
IFNA1	PDCD1	+
IL15	MYC	+
THBS4	LTBP1	-
FN1	MAPK1	+
RPL26	RPS20	0
LEP	CASP1	+
BMPR2	SMAD1	+
TRAF6	RELA	+
ETV4	MMP1	+
FGF3	SHC1	0
GNG5	PLCB2	+
MAPK11	MEF2A	+
MCM7	RAD17	+
CDK7	EIF4B	+
HBA2	NCBP1	0
RAD23B	CKS1B	+
OED	GSK3B	+
JUP	TCF7	0
LEP	PRKAB1	+
ITGA4	PXN	0
PSMD10	RBX1	+
NCOA3	AR	+
IL6	CCR7	-
CTBP1	CREBBP	0
SMAD1	SMAD1	0
GNGT2	PDE6A	+
ANAPC1	CDC27	+
POMP	PSMD13	0
RBPJL	SNW1	0
GAA	MTG1	0
NFKB2	TRAF5	+
PTK2B	MTA1	+
SFRP4	WNT8A	-
SOCS2	CRLF2	-
PSMA8	PSMA7	0
INPP5J	VCL	0
PRKCZ	PARD6A	0
ITGB2	VAV2	+
ERBB3	PIK3CB	+
HIST2H3C	STAT6	0
CTSK	SPARC	+
MYLPF	MYH4	0
CDK5RAP2	CEP70	0
SMARCA4	GTF3A	+
GTF2H3	LOC100290337	+
PGR	MAPK8	+
LYL1	CREB1	+
CTNNB1	VCAN	+
PSMB4	PSMB9	0
SRC	PIK3R2	+
PPP2R1B	RPS6KB1	-
CD40	IL2	-
JUNB	MGP	+
PSMB8	ANAPC10	+
TRIM44	TRIM17	-
CDC27	CDK1	-
AKT1	SFN	+
GRK5	TRIP10	+
PCNT	CEP290	0
COL11A2	ITGA3	+
DBH	ADRA1B	+
EFNA2	EPHA8	+
EDN1	TCF7	+
PIK3R1	CDC42	+
CCND1	ESR1	+
RAC1	MAPK8	+
KAT2B	SMAD3	+
PCM1	OFD1	0
CASP3	RFC1	+
NCK1	DOK2	0
LYN	EGF	+
LYN	PRKCQ	+
MYC	TAF4B	+
PRKCZ	FGR	+
RPL21	RPS15	0
FGF11	IGF1R	+
CD40	FAS	+
NOD1	TRIP6	0
MYL10	ACTG1	+
LOC652799	PIK3CD	+
CXCR7	HIC1	-
EIF6	RPS4Y1	+
TXNRD1	CCL2	+
CEBPB	ELANE	+
MYH2	MYH4	0
STK17A	NIPBL	+
ARNT	EFNA1	+
SRC	FGF11	-
RPS6KA5	H3F3B	+
EPOR	STAT3	+
PLK1	CDC27	+
CACNA1H	CACNA1D	0
ITGB5	SHC1	0
PXK	TRIP10	+
GNG2	PIK3CD	+
AGA	DVL1L1	+
IRAK3	TOLLIP	0
CPSF2	PAPOLA	0
PSMD5	CKS1B	+
RPLP1	RPS12	0
HBA2	RPS27	0
ATM	TTC5	+
MLLT4	F11R	0
RPS4Y1	RPS16	0
EIF2B2	EIF2B2	+
CCNB1	ANAPC10	+
IL12RB1	LCK	+
PSMA6	ANAPC11	+
JAK2	CCR5	+
MRPS7	RPS24	0
TGFB1	SMAD2	+
PLD2	MAPK3	+
MAP3K1	MAP2K7	+
IRS1	RET	0
PDK1	SGK1	+
PRKCZ	GSK3A	+
PSMC3	RBX1	+
PSMD3	CUL5	+
MRAS	PIK3CD	+
LAMA2	CDC42	+
CACNG8	CACNA1B	0
PPARD	PDPK1	+
EGF	CBL	+
DOCK10	CDC42	+
MAPKAPK5	HSPB2	+
FGF22	MET	+
POLD3	SRA1	+
FYN	CAV1	+
SRC	SH2D2A	+
SRC	CRK	+
FYN	RELN	0
HDAC8	INTS3	0
STK17A	KDM5D	+
SMURF1	CAV1	0
GFER	MAPK3	+
LMO4	SOS1	+
IL12RB1	CXCL1	+
LCK	RELA	+
CEP152	CEP76	0
PPP2R5C	CFL1	+
GNAI1	RGS1	0
CXCL3	CCR7	+
PPP3R1	CDC26	+
GTF2H2	LOC100290337	0
IL18	CXCL12	+
C17orf70	C19orf40	0
LAMA3	ITGAV	+
PLCG2	PLA2G2D	+
EIF3F	EIF3M	0
PSMB3	PSMB7	0
FGF12	SPP1	+
CDC27	PTTG1	-
RAD51	BRCA2	0
HBA2	RPS4X	0
FXYD2	POR	+
TNF	IL1B	+
TNFSF13	TNFRSF13B	+
RPL5	RPL7A	0
ADRBK1	BAD	+
PSMA6	PSMB1	0
CPSF7	CSTF2	+
CTNNB1	CTNNA3	0
CCNH	CCNH	+
ARHGEF2	ARHGAP1	+
TPR	NXF1	+
PLK1	CEP70	0
SPRY2	GRB2	-
APH1A	SDC3	+
ITGB2	PLAUR	0
SIRT1	SOD2	+
PRKAR1A	BAD	+
GTF2H4	LOC100290337	+
PRKCA	LAMC1	+
XRCC5	XRCC4	0
CD247	CD8B	0
GTF2H2	RPA1	+
GNA13	GNA12	0
AURKB	ZYX	+
MYH2	MYL4	0
MAPK8	HIST2H2BE	+
CTSG	PPBP	+
FOXG1	FOXH1	0
SOCS3	IKZF3	-
FGF21	FGFR4	+
RASA2	MRAS	-
MAPK9	MDM2	+
CASP7	DFFA	+
PCM1	FGFR1OP	0
FGF2	NRP1	+
RPL7	RPS13	0
ANAPC4	CDC27	+
MAPK8	MTF2	+
LSM5	LSM6	0
ITPR2	PLCG2	0
ELK1	JUN	+
DYRK4	AGGF1	+
PAFAH1B1	TUBA4A	0
TBK1	RELA	+
EIF2S2	RPS13	+
MAPKAPK5	SMAD4	+
RPS23	UBC	0
RPS13	EIF2S2	0
RPSA	RPS17	0
PPP1CA	MYL5	-
PSMA6	ANAPC4	+
CASP1	EIF3A	+
TNFRSF1A	FADD	0
RPL3	RPL28	0
PTPN6	IL2RA	-
FARP1	GNA13	-
STAT5B	NFKBIA	-
NUP214	MDM2	+
SP1	CEBPA	0
DVL3	NKD1	0
PROK1	PROKR1	+
CASP3	CAD	+
TSLP	IL7R	+
PIK3R1	GAB2	0
GNB2L1	ITGB3	0
FGF9	GAB1	0
CRH	CRHR1	+
WNT8B	FZD4	+
GATA6	TFF1	+
RANGAP1	NUTF2	+
PSME3	CDC23	+
RPL39L	RPS13	0
TLR4	IKBKG	+
NUPL2	SNRPD2	+
CCL7	CCR8	+
SMAD2	PAX2	0
CCNE2	CDC27	-
RPL18	RPL37	0
AKT1	BCL11A	+
NUP155	SNRPE	+
PHGDH	NARS	-
FYN	IL7R	0
FOXO1	NOS2	+
MYC	GCOM1	+
RSF1	NFKB1	-
CSNK2A1	ZRANB2	+
STAM2	TYK2	+
SMPD2	SMPD1	+
PRKCQ	SYK	+
NFKBIA	RELA	-
SHFM1	PSMD10	0
PTGER1	GNGT1	0
GLI1	WNT3A	+
ACVR1	NFATC4	+
CHEK1	RASGRF1	-
CASP7	LAMB2	+
PRKCA	F11R	+
MLST8	EIF3E	+
DOK1	PLCG1	0
SNX1	F2R	+
PTK2	CRKL	+
AGT	GNB1	0
FES	IL4	0
PSME4	PSMD2	0
NGFR	PRKACB	0
BUB1B	MYCBP2	0
CCL3L3	CCR10	+
EDN1	GNGT1	0
NEK2	TUBA1A	0
MMP2	HBEGF	+
NUP98	RNPS1	+
PPP2R5D	MYC	-
CCL15	CCR9	+
VWF	ITGA9	+
MAP2K1	STAT3	+
TP63	KRT5	+
PTPN3	CD247	-
MLST8	EIF3L	+
LEF1	PPARD	+
ST5	MAPK1	+
ITGA2B	ITGA2B	0
PTPN11	RAP1A	+
BRCA1	AR	+
IL4	NFE2	-
HSP90AA1	AIP	0
SLC10A2	ANAPC7	+
RPS6	RPS3	0
PTK2B	AKT3	+
PRKAR2B	PPP2R5D	+
IL4	TYK2	-
ADRB1	ARRB1	0
MYH6	TRIM32	0
PTPN1	TLN1	+
RPL6	RPL39	0
NCOR2	HES1	-
TP53	APAF1	+
PPARA	CPT1C	+
MAPK8	MAP3K11	+
CDKN2C	CCND1	-
JAK3	IRS2	0
KIT	CD151	0
RPS21	RPS25	0
PDPK1	ASAP3	+
NODAL	ACVR1C	+
MYBPC3	MYH2	0
ATR	CHEK1	+
F10	F9	+
FRS2	MAPK1	+
GNAZ	PLCG1	+
PIK3CA	BCAR1	+
GTF2B	TAF13	0
PRKCQ	ACTB	+
SOD2	AR	+
EFNB3	RASA1	0
CEP76	PCNT	0
F2RL1	JUN	+
F2	EZR	0
ROBO1	SLIT2	-
TBP	NR3C1	+
HDAC8	HIST2H4A	+
EGR1	CYP2B6	+
CLDN10	CLDN6	0
INS	INPP5D	+
UHMK1	BCL3	+
MCM3	MCM4	0
IDE	PSMC3	0
PSMB9	PSMD13	0
SMAD5	ID3	+
IL23A	NFKBIA	+
CAPN1	MAP2	-
LAMA1	SV2C	+
LAMA1	ITGB8	+
STK11	SNRK	+
CGB	LHCGR	+
NR0B1	ESR1	-
GTF2H4	TAF4B	0
CHMP4A	FAM125A	0
IKBKB	TSC22D3	+
PSMC2	PSMC6	0
PSMD11	ANAPC5	+
FGFR1	PIK3CA	+
EPHB1	HCK	+
ELK1	CITED2	+
MYH1	SHROOM1	0
SYK	SLC4A1AP	+
DCLK1	PRKACB	+
NGF	IKBKG	+
TNC	ITGA1	+
FGF7	SPP1	+
ZYX	RHOA	+
RPS17	RPS14	0
PHB	MAPK1	+
CALML5	CHP	+
PSMB4	CUL5	+
KIT	SOCS5	0
DOK1	RASA1	0
IGHE	GRB2	+
NUP214	SNRPD2	+
GTF2H1	TBP	+
SLIT2	ROBO4	+
CEP63	AZI1	0
OS9	EGLN2	0
PRKACA	CAMKK1	+
TNFRSF10B	CASP10	+
ARRB1	EPD	+
RPLP0	RPS4X	0
RUNX2	BMP2	+
DOCK9	RAC2	+
STEAP1	HLA-E	+
IKBKB	BCL10	0
RAPGEF3	RAP2B	+
IRF1	CDKN1B	+
CRY1	ARNTL	-
FN1	GRB2	+
CD86	IL10	+
RAE1	SLBP	+
CEP164	CP110	0
EGFR	LAMA1	+
C3orf10	ARPC4	+
UBXN1	PSMC3	0
U2AF2	SNRPD2	+
CEP76	AZI1	0
C7	C8B	+
HLA-F	CD8A	+
HNF1A	AXIN2	+
PSMB10	PSME4	0
CCL4	CCR2	+
PAAF1	POMP	0
PSMA6	PSMB3	0
CD8A	CSK	-
RAE1	SNRPD1	+
CDC37	IKBKG	0
UBB	UBB	+
PSMA2	IDE	0
FTL	RPS15A	0
CENPA	INCENP	+
CCR3	CCL11	0
PSMD2	PSMC4	0
TUBB	TUBB2C	0
RPL6	RPL8	0
SFRP5	WNT3	-
YWHAZ	MAP2K2	+
TNFRSF9	MAP3K5	+
EIF3F	EIF3K	0
NOTCH4	DTX3	+
CLDN18	TJP1	0
FGF12	MAPK3	+
GTF2H1	LOC100290337	+
CSF1	GRB2	+
SP1	ACOX1	-
FGF23	MAPK3	+
FGF8	EGFR	+
FOXO1	G6PC	+
PTPN1	STAT5B	-
THBS3	ITGB5	+
MAP3K3	TRADD	0
FYN	DCC	0
CASP7	EIF4G2	+
NCAPG	NCAPD2	0
POLR2F	POLR3E	0
FOSL2	FOSL1	+
ANAPC13	FZR1	+
SMARCA4	ESR1	+
GNGT1	MAP3K1	+
MLST8	AKT1S1	0
INADL	MPP5	0
MYD88	TLR7	0
IL27	IL2	-
RPS13	RPS25	0
PTPN5	MAPK8	-
FPR1	PLA2G1B	+
HIF1A	ESR2	+
DPP4	CXCL11	+
FTH1	IL10	+
TAF10	TAF4	0
GDNF	CDH1	+
PSMB3	RBX1	+
ADRM1	TCEB1	+
YWHAZ	BAD	0
MET	HRAS	+
PRKCD	DAB2	+
CLDN23	CLDN15	0
RPS6KA1	PRKAR1A	+
NOTCH1	MAML1	0
ERVK2	CD177	+
NPPC	CCK	-
FYN	ITGB5	+
CXCL10	IFNG	+
E2F3	RBBP4	0
MYLK	MYL2	+
RPL8	RPS2	0
FANCG	FANCE	0
PPP2R1A	CEP250	0
CSNK1E	CTNNB1	+
GNA13	TBXA2R	+
PTK2	FYN	0
DPP4	ADA	-
PSMA1	CDK2	+
PSMD4	CKS1B	+
MAX	HMGA1	+
FIGF	PIK3R1	+
RPL29	RPL38	0
BLNK	YES1	0
EGFR	STAT5A	+
PELP1	KLK3	+
CTNNB1	FOXO1	0
PTPN6	CSF2RB	-
DDX5	AR	+
MAPK3	GJD2	-
EIF3M	EIF3I	0
HDAC6	POLR2C	0
ADCY9	PRKX	+
UBR1	PSMB8	0
MAPK1	FRS2	-
NF2	PXN	0
RPL39L	RPS24	0
DYNC1I2	AKAP9	0
HSPB1	PSMD1	0
PSMB6	CUL5	+
CXCL12	CX3CR1	+
EGFR	PIP5K1C	+
MYH1	CGN	0
CBL	CBL	0
