BCL2L1	COX5B
HTR2B	GNA11
AVP	CRH
EIF6	RPS9
TRH	NTS
PRR5	MTOR
EIF2S1	HBA2
GTF2B	TAF5
RPA1	RPA3
PPARGC1A	ESRRA
PIAS2	GAB2
E2F1	TERT
TNF	APOBEC2
HSP90AA1	MAP3K1
WNT4	FZD6
IL2	IL5
IL4	CYP2E1
RPS25	UBC
FGF4	GRB2
AR	UBE2I
WNT9A	FZD2
SILV	ICAM1
RPS6KB1	MMP9
PSMB11	CDC20
IL23A	TNF
EFNA2	EPHA7
CD9	IGSF8
HMOX1	RBP3
COL5A1	ITGA1
STAT5B	SOCS4
HLA-G	KIR2DS1
KDR	PTPN11
RPL4	RPL10
ADIPOQ	ADIPOR2
RPTOR	EIF3B
GAB2	PIK3R3
RAD23B	PSMD5
CCL1	CCR7
LRIG1	ERBB4
CNR1	CACNG3
P2RX7	CREB1
CDC42BPA	MYBPC3
FGF18	FGFR3
RHO	RP1
SYK	MAPK11
SLC10A2	FABP6
CLDN19	CLDN9
PPP3CA	ITCH
SMURF1	TGFBR2
FGF1	JUN
SOS1	MTG1
DDR1	SOX10
CCL1	CXCR1
MYC	MINA
HSPB1	FASLG
RGS1	CD3G
CLDN23	CLDN19
CBL	GRB2
COL5A1	ITGA3
PSMB5	PAAF1
CXCL12	PRKAR1B
NOTCH1	PSEN2
PRKCE	MET
EIF1AX	RPS15
SUFU	SAP30
CACNA1G	CACNA1E
IL6	TLR2
SNCA	PSMD12
FGF8	PIK3R1
MAPK3	PLA2G4B
DYRK2	CSDC2
RPL39	RPS12
CRP	ITGAM
TGIF1	SMAD2
PSMB4	ANAPC7
BCAP31	BCL2L1
FGF18	IGF1R
SOCS1	LCK
ADRBK2	CXCR6
DVL3	PI4K2A
RPL21	RPL24
APH1A	NOTCH1
ACTG1	VASP
LAMC1	SV2C
ZSCAN1	MZF1
POLR2J	INTS3
PLAT	PLG
LAMA5	ITGA2B
EGF	LAMA3
ABHD5	PNPLA2
ITGA2B	ITGB7
ITGB4	PXN
SOCS3	IL20RB
PRKCE	CABIN1
NOX1	NCF4
MAP3K7	BCL10
EDN1	PTK2B
ARF6	CLTC
GNGT1	P2RY2
ILK	FOS
PTK2B	ARAP1
SMAD4	CTNNB1
PRKCD	MARCKSL1
GNG2	PIK3R2
TNF	AD5
UTS2	EGFR
HBA1	RPS14
PRKCD	STAT1
POLR2B	POLR2L
CREB1	CCND1
LCK	VDR
RAD23B	PSMB6
GTF2H1	RPA1
LCK	TRPV6
SMO	PTCH2
IQGAP1	ACTB
POU1F1	REN
PAAF1	PSMB9
PDK1	AKT1
CXCL9	CCR5
PPP1R12A	MYL3
ITGA3	CALR
SMAD5	ATF2
TBP	TAF4
GNA13	ARHGEF12
AAAS	GCKR
DBF4B	CDC7
ATM	TAOK1
TSGA14	TUBB
SNX1	HAT1
IRF8	PTPN13
SRC	MAPK8IP3
COL11A2	ITGA5
NFKB1	FIGF
CDK5	SMAD4
CSF2	PIK3CG
PGAM1	PAK1
IL4	IFNG
PPP2R1A	PRKAR2B
U2AF2	SNRPB2
PRKCA	KCNIP2
TNF	PDCD6IP
PAK4	CBL
EP300	E2F1
LTA	TNFRSF1B
MAPK13	ELK4
MYST2	SMAD2
IL17A	IL6
FZD2	UBE3A
RAD17	RFC3
